parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
mouse_strain,C57BL
analysis_id,z9pvh44v4jrd9ge
mouse_life_stage,E18.5
gene_symbol,Nanp
gene_accession_id,MGI:1914561
pvalue,0.6521432
