parameter_name,Humerus
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
pvalue,0.3863905
analysis_id,515xrbm68173yx9
mouse_life_stage,Early adult
