gene_symbol,Arpc2
gene_accession_id,MGI:1923959
parameter_name,Hindlimbs - size
pvalue,0.2598121
analysis_id,gb2u7f35ep6l2w1
mouse_strain,C57BL
parameter_id,JAXLA_CSD_022_001
mouse_life_stage,Early adult
