parameter_name,Haemoglobin
gene_symbol,Duoxa2
mouse_strain,C57BL
pvalue,0.4826953
gene_accession_id,MGI:1914061
analysis_id,ngqq185i8z30198
parameter_id,ESLIM_016_001_003
mouse_life_stage,Early adult
