gene_symbol,Duoxa2
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4895988
analysis_id,dkvy4d5351iu524
parameter_name,Center average speed
parameter_id,HRWLLA_OFD_017_001
gene_accession_id,MGI:1914061
