parameter_name,Skull shape
analysis_id,744228g354h74r0
pvalue,0.4566439
gene_accession_id,MGI:3026886
mouse_strain,C57BL
gene_symbol,Cdin1
mouse_life_stage,E9.5
parameter_id,CCP_XRY_001_001
