mouse_strain,129SV
gene_accession_id,MGI:2684980
parameter_name,Chloride
analysis_id,6oh6cw7h700r477
gene_symbol,Mms22l
pvalue,0.1481492
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_003_001
