parameter_name,HDL cholesterol
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
pvalue,0.3537223
parameter_id,JAX_PLC_002_001
mouse_strain,C56BL
gene_symbol,Rab3gap2
analysis_id,q4121982m027q30
