analysis_id,80z59yd8y9z2097
parameter_id,IMPC_IMM_071_001
parameter_name,MZB (CD21/35 high)
pvalue,0.6570862
Mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
mouse_strain,C57BL
Gene_accession_id,MGI:2441730
