analysis_id,k0420qw1730k7p4
parameter_name,Center average speed
pvalue,0.7939083
mouse_strain,B6J
gene_symbol,Nr0b2
parameter_id,JAXLA_OFD_017_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
