gene_symbol,Usp37
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
pvalue,0.1850966
analysis_id,wa3mnx02g836pxp
parameter_name,Right total retinal thickness
