gene_symbol,Wars2
analysis_id,gp7z249al4d9088
gene_accession_id,MGI:1917810
parameter_id,HMGULA_DYS_024_001
parameter_name,Vibrissae - appearance
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.1620068
