parameter_id,JAX_ROT_002_001
parameter_name,Average duration
gene_accession_id,MGI:104640
gene_symbol,Rab17
pvalue,0.9812619
analysis_id,s4tw588mqwhqrw8
mouse_strain,C57BL
mouse_life_stage,Early adult
