parameter_id,JAX_OFD_017_001
gene_symbol,Mapkap1
analysis_id,7uf1e24tvf175l1
pvalue,0.6174351
parameter_name,Center average speed
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
mouse_strain,C57BL
