analysis_id,823xtt948y6t726
parameter_name,Edema
mouse_life_stage,E18.5
pvalue,0.8800249
mouse_strain,C57BL
parameter_id,IMPC_GEO_064_001
gene_symbol,Nanp
gene_accession_id,MGI:1914561
