parameter_name,Hindlimbs - size
mouse_strain,C57BL
pvalue,0.5037821
mouse_life_stage,Early adult
gene_symbol,Trpa1
analysis_id,29q38lu17m5828x
parameter_id,JAXLA_CSD_022_001
gene_accession_id,MGI:3522699
