parameter_name,NK cell number
parameter_id,MGP_PBI_027_001
mouse_strain,C57BL
pvalue,0.9198449
mouse_life_stage,Early adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
analysis_id,d0nh582ffy489fk
