gene_symbol,Slx4ip
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
pvalue,0.4106094
analysis_id,09m4g1c8150tfif
parameter_name,Fat/Body weight
parameter_id,IMPC_DXA_009_001
mouse_strain,C57BL
