gene_symbol,Zc2hc1a
parameter_id,IMPC_CSD_030_001
mouse_life_stage,Early adult
parameter_name,Tremor
mouse_strain,C57BL
gene_accession_id,MGI:1914556
analysis_id,h04e1y4948ga49o
pvalue,0.8660901
