analysis_id,1em3zj86i6xfy0e
mouse_strain,C57BL
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
parameter_id,MGP_BMI_006_001
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
pvalue,0.2032485
gene_symbol,Pum1
