analysis_id,fw488qaz78f1xli
pvalue,0.2069975
mouse_life_stage,Early adult
parameter_name,Eye
parameter_id,IMPC_EYE_001_001
gene_accession_id,MGI:1913506
gene_symbol,Ssr2
mouse_strain,C57BL
