parameter_name,Stroke Volume
gene_accession_id,MGI:2140475
gene_symbol,AU040320
pvalue,0.5878058
mouse_strain,C57BL
analysis_id,01xufuld4rr9852
mouse_life_stage,Middle aged adult
parameter_id,IMPC_ECH_003_001
