analysis_id,ey7t8j8feucia54
parameter_id,IMPC_GEO_064_001
parameter_name,Edema
pvalue,0.9286096
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
mouse_strain,C57BL
