parameter_name,Heart looping
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rab13
analysis_id,a044v0fo6iq45h8
pvalue,0.6201952
parameter_id,IMPC_GEL_057_001
gene_accession_id,MGI:1927232
