parameter_name,Periphery distance travelled
parameter_id,JAX_OFD_010_001
gene_symbol,Mapkap1
analysis_id,r29t0z0021m42b3
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
pvalue,0.1675159
