analysis_id,5b185396b3675ij
gene_accession_id,MGI:1919137
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Limb morphology
pvalue,0.4457441
parameter_id,IMPC_GEP_084_001
gene_symbol,Ppm1j
