gene_symbol,Sass6
analysis_id,14d0l4d4780xu3q
pvalue,0.2164091
gene_accession_id,MGI:1920026
parameter_name,Alanine aminotransferase
parameter_id,IMPC_CBC_013_001
mouse_life_stage,E12.5
mouse_strain,C57BL
