parameter_name,Platelet count
pvalue,0.4710772
mouse_strain,C57BL
gene_accession_id,MGI:105073
parameter_id,IMPC_HEM_008_001
mouse_life_stage,Early adult
analysis_id,xkz9f7f02275o16
gene_symbol,Tnni1
