gene_symbol,Toporsl
parameter_id,IMPC_EYE_092_002
analysis_id,473v44ndm03f6ba
pvalue,0.07780709
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915524
parameter_name,Retina (combined)
