parameter_name,Retinal Blood Vessels
pvalue,0.6903104
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
analysis_id,l2vy8oqz4y86074
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
mouse_life_stage,Early adult
