parameter_name,% Freezing duration habituation-1
gene_accession_id,MGI:1919949
parameter_id,ICS_FEA_016_001
pvalue,0.9861951
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,1r4i9u33lm3i1sc
gene_symbol,Lime1
