analysis_id,mi3mw2c60g9bse3
mouse_strain,C57BL
parameter_name,Total T cell percentage
parameter_id,MGP_PBI_001_001
mouse_life_stage,Early adult
pvalue,0.6323561
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
