parameter_name,Number of centre entries
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ddx27
pvalue,0.9408518
analysis_id,814g2q9g69y9tdj
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:2385884
