parameter_name,White blood cell-count
mouse_strain,C57BL
gene_symbol,Trpa1
mouse_life_stage,Early adult
pvalue,0.847249
gene_accession_id,MGI:3522699
parameter_id,M-G-P_016_001_001
analysis_id,yb3v7pawm9um71i
