gene_symbol,Ints7
analysis_id,p599ofz0w2122su
gene_accession_id,MGI:1924315
pvalue,0.6609163
mouse_life_stage,Early adult
parameter_id,MGP_PBI_009_001
mouse_strain,C57BL
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
