analysis_id,690gxy27un66uzz
parameter_id,MGP_IMM_101_001
gene_symbol,Bcs1l
pvalue,0.7008867
gene_accession_id,MGI:1914071
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,KLRG1+ NK cells - % of CD45+
