analysis_id,cf4lt99v6lef8zb
mouse_strain,129SV
gene_symbol,Inpp1
parameter_name,Ulna
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
pvalue,0.5751406
parameter_id,IMPC_XRY_023_001
