gene_symbol,Sfpq
pvalue,0.2673561
mouse_life_stage,Early adult
parameter_name,Mean platelet volume
parameter_id,IMPC_HEM_019_001
analysis_id,ynfw69x836v47m5
gene_accession_id,MGI:1918764
mouse_strain,C57BL
