gene_symbol,Lcn2
gene_accession_id,MGI:96757
pvalue,0.9954426
parameter_id,IMPC_CSD_033_001
analysis_id,0b22572c98n1192
mouse_life_stage,Early adult
parameter_name,Gait
mouse_strain,C57BL
