analysis_id,k2h6194hnsp9mo3
mouse_strain,C57BL
parameter_id,MGP_IMM_026_001
mouse_life_stage,Middle aged adult
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
pvalue,0.7325285
