gene_symbol,Fpgs
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total cholesterol
pvalue,0.102995
gene_accession_id,MGI:95576
parameter_id,JAXLA_CBC_015_001
analysis_id,rgh1oj83t1f8ob6
