parameter_name,Skull shape
mouse_strain,C57BL
analysis_id,30414pk8zyv5s2e
gene_symbol,Sfpq
parameter_id,CCP_XRY_001_001
pvalue,0.8948454
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
