gene_symbol,Snap23
pvalue,0.9280743
parameter_id,IMPC_IMM_025_001
analysis_id,d258gienea1vfa6
parameter_name,DN CD25- NKT cells
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:109356
