parameter_name,Hemoglobin
parameter_id,IMPC_HEM_003_001
analysis_id,ii19b0lq62li5v3
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
mouse_strain,C3H
pvalue,0.1844144
