parameter_name,Periphery resting time
analysis_id,798430cmcg6cbga
pvalue,0.805695
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_007
gene_symbol,Dcaf12
mouse_strain,C57BL
