analysis_id,g0u08426by8w112
parameter_id,M-G-P_014_001_009
mouse_life_stage,E12.5
parameter_name,lens
pvalue,0.1910909
gene_accession_id,MGI:95457
gene_symbol,Mecom
mouse_strain,C57BL
