gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_id,IMPC_ABR_002_001
parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
mouse_life_stage,Late adult
analysis_id,1ghdz2n82l202l2
pvalue,0.5359063
