gene_symbol,Hspa5
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
analysis_id,624arh896c9n7l0
pvalue,0.3141213
parameter_name,Limb morphology
parameter_id,IMPC_GEP_084_001
