parameter_id,UCDLA_EYE_017_001
parameter_name,Lens Opacity
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
mouse_strain,C57BL
pvalue,0.8956354
analysis_id,ds601x6t4dd7t06
gene_symbol,Extl1
