parameter_id,JAXLA_CBC_015_001
analysis_id,rpn43a1h7ji3fb3
gene_symbol,Mecom
parameter_name,Total cholesterol
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:95457
pvalue,0.5659747
