analysis_id,nav0ds1gx30eg68
mouse_life_stage,Early adult
gene_symbol,Cntfr
mouse_strain,129SV
gene_accession_id,MGI:99605
parameter_id,IMPC_CSD_029_001
pvalue,0.5435961
parameter_name,Activity (body position)
