analysis_id,579g4r7nn00m3rd
mouse_life_stage,Early adult
parameter_name,Periphery resting time
gene_accession_id,MGI:109356
mouse_strain,C57BL
pvalue,0.8163931
gene_symbol,Snap23
parameter_id,HRWLLA_OFD_011_001
