parameter_name,Limb morphology
gene_accession_id,MGI:108072
mouse_strain,C57BL
analysis_id,o82zg6zh247m0p0
pvalue,0.0668827
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
gene_symbol,Traf6
