analysis_id,n607nr9bo725ho6
gene_accession_id,MGI:1338022
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
mouse_strain,C59BL
parameter_name,Respiration Rate
pvalue,0.2450063
gene_symbol,Opn3
