parameter_name,Periphery permanence time
gene_symbol,Mms22l
pvalue,0.2163061
gene_accession_id,MGI:2684980
parameter_id,JAX_OFD_012_001
analysis_id,0nijej4zqw80zpl
mouse_life_stage,Early adult
mouse_strain,129SV
