parameter_id,HMGULA_CBC_017_001
gene_symbol,Dmap1
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
pvalue,0.6391692
parameter_name,Triglycerides
mouse_strain,C57BL
analysis_id,k858fx716hqg377
