gene_symbol,Psd4
pvalue,0.1905461
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
parameter_id,JAX_SLW_013_001
mouse_strain,C51BL
analysis_id,w2w5vj6h311blmj
parameter_name,Breath rate during sleep mean
