analysis_id,30y231638i06qhu
mouse_life_stage,Early adult
gene_symbol,Trp53rkb
parameter_id,IMPC_EYE_059_001
mouse_strain,C57BL
parameter_name,Mean right eye lens density
pvalue,0.2592756
gene_accession_id,MGI:1914050
