analysis_id,330j0z33zh12oyc
parameter_name,Prepulse inhibition - PP4
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
mouse_strain,C57BL
pvalue,0.4687029
parameter_id,ESLIM_011_001_704
gene_symbol,Abo
