analysis_id,01v4q0zo9709yp0
mouse_strain,C57BL
pvalue,0.1872747
mouse_life_stage,E18.5
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:1914309
parameter_id,IMPC_CBC_014_001
gene_symbol,Ola1
