parameter_name,Alanine aminotransferase
pvalue,0.2343226
gene_symbol,Opn3
mouse_strain,C57BL
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
analysis_id,6zvyhuxq86ghl52
parameter_id,IMPC_CBC_013_001
