analysis_id,8xleij4r2wx20mk
gene_accession_id,MGI:2444554
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
pvalue,0.7410739
gene_symbol,Mapkap1
mouse_life_stage,E12.5
parameter_name,Percentage center time
