analysis_id,098zuw9syej3t0n
pvalue,0.5787341
parameter_id,IMPC_CBC_010_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914583
gene_symbol,Stk35
parameter_name,Phosphorus
