gene_symbol,Uckl1
mouse_life_stage,Early adult
parameter_name,LVIDd
analysis_id,ot8a705p54ry1i6
parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:1915806
pvalue,0.8301694
mouse_strain,C57BL
